Year,Facility,Class,All Delays,All Avg. min.,all Total min.,Weather Number of Delays,Weather avg,Weather total,volume number of delays,volume avg,volume total,Equipment number of delays,Equipment avg.,Equipment total,runway number of delays,runway avg.,runway total,Other number of delays,other avg.,other total
2006,ATL,Towers with Radar,46507,43,2011401,29478,54,1588536,7826,20,156136,314,58,18350,8283,27,224729,606,39,23650
2006,AUS,Combined TRACON & Tower with Radar,6,50,297,3,79,238,3,20,59,0,0,0,0,0,0,0,0,0
2006,BDL,Towers with Radar,73,58,4236,54,69,3699,5,31,153,1,41,41,3,30,91,10,25,252
2006,BHM,Combined TRACON & Tower with Radar,156,51,7971,62,60,3741,79,47,3702,2,16,31,0,0,0,13,38,497
2006,BNA,Combined TRACON & Tower with Radar,19,70,1332,17,73,1249,1,35,35,0,0,0,1,48,48,0,0,0
2006,BOS,Towers with Radar,10908,59,648924,10212,60,617152,149,29,4369,2,69,137,377,51,19161,168,48,8105
2006,BUF,Combined TRACON & Tower with Radar,10,46,464,10,46,464,0,0,0,0,0,0,0,0,0,0,0,0
2006,BUR,Towers with Radar,69,29,2031,14,50,700,39,25,977,0,0,0,15,22,329,1,25,25
2006,BWI,Towers with Radar,534,70,37524,467,76,35484,40,27,1065,7,46,324,4,16,64,16,37,587
2006,CLE,Combined TRACON & Tower with Radar,1134,51,57494,828,58,47993,243,26,6398,0,0,0,0,0,0,63,49,3103
2006,CLT,Combined TRACON & Tower with Radar,6185,30,185151,1757,53,92861,2153,22,46350,141,26,3662,2033,19,39277,101,30,3001
2006,CVG,Combined TRACON & Tower with Radar,951,41,39409,623,51,31918,172,25,4231,1,43,43,112,18,2026,43,28,1191
2006,DAL,Towers with Radar,443,37,16209,217,51,10977,103,22,2277,9,50,452,41,25,1016,73,20,1487
2006,DAY,Combined TRACON & Tower with Radar,22,38,829,6,32,191,16,40,638,0,0,0,0,0,0,0,0,0
2006,DCA,Towers with Radar,1235,52,63775,735,69,50736,87,28,2448,50,36,1806,253,20,5042,110,34,3743
2006,DEN,Towers with Radar,948,47,44133,847,48,40987,9,30,267,34,33,1112,3,29,87,55,31,1680
2006,DFW,Towers with Radar,4472,50,224417,3884,55,211730,60,23,1386,1,60,60,350,18,6466,177,27,4775
